제조사,제품명,신고번호,등록일,유통기한,기능성
콜마비앤에이치(주)음성공장,더다른 바나바,200600200032415,20220509,제조일로부터 24개월,"- 바나바잎 추출물: 식후 혈당상승 억제에 도움을 줄 수 있음
- 비타민 B1: 탄수화물과 에너지 대사에 필요
- 비타민 B2: 체내 에너지 생성에 필요
- 비타민 B6: 단백질 및 아미노산 이용에 필요, 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
- 비타민 B12: 정상적인 엽산 대사에 필요
- 아연: 정상적인 면역기능에 필요, 정상적인 세포분열에 필요
- 셀렌: 유해산소로부터 세포를 보호하는데 필요"
(주)서흥,더다른 비오틴,200400200061691,20210916,제조일로부터 24개월,"판토텐산 : 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
크롬 : 체내 탄수화물, 지방, 단백질 대사에 관여
셀렌 : 유해산소로부터 세포를 보호하는데 필요   
아연 : (1) 정상적인 면역기능에 필요 (2) 정상적인 세포분열에 필요
비타민B6 : (1) 단백질 및 아미노산 이용에 필요 (2) 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요 
비타민B1 : 탄수화물과 에너지 대사에 필요
비오틴 : 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
엽산 : (1) 세포와 혈액생성에 필요 (2) 태아 신경관의 정상 발달에 필요 (3) 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요"
(주)알피바이오,더다른 올인원 종합비타민,200400170061100,20210223,제조일로부터 24개월까지,"[마그네슘] ①에너지 이용에 필요②신경과 근육 기능 유지에 필요
[비타민C] ①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
[요오드] ①갑상선 호르몬의 합성에 필요②에너지 생성에 필요③신경발달에 필요
[나이아신] ①체내 에너지 생성에 필요
[비타민E] ①항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
[철] ①체내 산소운반과 혈액생성에 필요②에너지 생성에 필요
[판토텐산] ①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[아연] ①정상적인 면역기능에 필요②정상적인 세포분열에 필요
[망간] ①뼈 형성에 필요②에너지 이용에 필요③유해산소로부터 세포를 보호하는데 필요
[크롬] 체내 탄수화물, 지방, 단백질 대사에 관여
[몰리브덴] 산화·환원 효소의 활성에 필요
[비타민A] ①어두운 곳에서 시각 적응을 위해 필요②피부와 점막을 형성하고 기능을 유지하는데 필요③상피세포의 성장과 발달에 필요
[비타민D] ①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌
[비타민B2] ①체내 에너지 생성에 필요
[비타민B1] ①탄수화물과 에너지 대사에 필요
[셀레늄] ①유해산소로부터 세포를 보호하는데 필요
[비타민B12] ①정상적인 엽산 대사에 필요
[비타민B6] ①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[구리] ①철의 운반과 이용에 필요②유해산소로부터 세포를 보호하는데 필요
[비타민K] ①정상적인 혈액응고에 필요②뼈의 구성에 필요
[엽산] ①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비오틴] ①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요"
(주)서흥헬스케어 2공장,더다른 유기농 밀크씨슬,2018001205646,20230731,제조일로부터 24개월,"밀크씨슬(카르두스 마리아누스) 추출물 : 간 건강에 도움을 줄 수 있음
셀레늄 : (1) 유해산소로부터 세포를 보호하는데 필요
엽산 : (1) 세포와 혈액생성에 필요 (2) 태아 신경관의 정상 발달에 필요 (3) 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요"
(주)서흥,더다른 유기농 엽산,200400200061693,20210917,제조일로부터 24개월,"엽산 : (1) 세포와 혈액생성에 필요 (2) 태아 신경관의 정상 발달에 필요 (3) 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
비타민B12 : 정상적인 엽산 대사에 필요
"
(주)서흥,더다른 이뮨타민 올인원,200400200061930,20240306,제조일로부터 24개월,"비타민C : (1) 결합조직 형성과 기능유지에 필요 (2) 철의 흡수에 필요 (3) 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요  
나이아신 : 체내 에너지 생성에 필요
셀레늄 : 유해산소로부터 세포를 보호하는데 필요
아연 : (1) 정상적인 면역기능에 필요 (2) 정상적인 세포분열에 필요
비타민E : 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
판토텐산 : 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
비타민B1 : 탄수화물과 에너지 대사에 필요
비타민B2 : 체내 에너지 생성에 필요
비타민B6 : (1) 단백질 및 아미노산 이용에 필요 (2) 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
비오틴 : 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
비타민A : (1) 어두운 곳에서 시각 적응을 위해 필요 (2) 피부와 점막을 형성하고 기능을 유지하는데 필요 (3) 상피세포의 성장과 발달에 필요
비타민D : (1) 칼슘과 인이 흡수되고 이용되는데 필요 (2) 뼈의 형성과 유지에 필요 (3) 골다공증발생 위험 감소에 도움을 줌
엽산 : (1) 세포와 혈액생성에 필요 (2) 태아 신경관의 정상 발달에 필요 (3) 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
비타민B12 : (1) 정상적인 엽산 대사에 필요"
엔피케이(주),더리버큐민,201000190041253,20230310,제조일로부터 24개월,"[밀크씨슬(카르두스 마리아누스) 추출물]①간 겅강에 도움을 줄 수 있음
[비타민B1]①탄수화물과 에너지 대사에 필요
[나이아신]①체내 에너지 생성에 필요
[비타민B6]①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[판토텐산]①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[비오틴]①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[비타민B12]①정상적인 엽산 대사에 필요"
주식회사 다움,더맘스,20040016034110,20171030,제조일로부터 24개월 ,"[비타민D]①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌

[비타민B2]①체내 에너지 생성에 필요

[비타민B1]①탄수화물과 에너지 대사에 필요

[나이아신]①체내 에너지 생성에 필요

[비타민B6]①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[비오틴]①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

[판토텐산]①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

[엽산]①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[비타민C]①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요

[셀레늄]①유해산소로부터 세포를 보호하는데 필요

[아연]①정상적인 면역기능에 필요②정상적인 세포분열에 필요

[철]①체내 산소운반과 혈액생성에 필요②에너지 생성에 필요

[크롬] 체내 탄수화물, 지방, 단백질 대사에 관여"
(주)한풍네이처팜,더블 업 철분 엽산 비타민D,20120019007771,20230609,제조일로부터 24개월까지,"[비타민C] 결합조직 형성과 기능유지에 필요 / 철의 흡수에 필요 /  항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
[철] 체내 산소운반과 혈액생성에 필요 / 에너지 생성에 필요
[비타민D] 칼슘과 인이 흡수되고 이용되는데 필요 / 뼈의 형성과 유지에 필요 / 골다공증발생 위험 감소에 도움을 줌
[엽산] 세포와 혈액생성에 필요 / 태아 신경관의 정상 발달에 필요 / 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요"
엠에스바이오텍(주),더블에너지 믹스,200400200201240,20240103,제조일로부터 24개월,"* 나이아신
① 체내 에너지 생성에 필요

*베타카로틴
① 어두운 곳에서 시각 적응을 위해 필요
② 피부와 점막을 형성하고 기능을 유지하는데 필요
③ 상피세포의 성장과 발달에 필요

* 비오틴
① 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

* 비타민B1
① 탄수화물과 에너지 대사에 필요

* 비타민B2
① 체내 에너지 생성에 필요

* 비타민B6
① 단백질 및 아미노산 이용에 필요
② 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

* 비타민B12
① 정상적인 엽산 대사에 필요

* 비타민C
① 결합조직 형성과 기능유지에 필요
② 철의 흡수에 필요
③ 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요

* 비타민E
① 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요

*셀렌
① 유해산소로부터 세포를 보호하는데 필요

*식이섬유
① 식이섬유 보충

* 엽산
① 세포와 혈액생성에 필요
② 태아 신경관의 정상 발달에 필요
③ 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

* 판토텐산
① 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요"
동서바이오팜(주),더블에스S,20040017025534,20200213,제조일로부터 24개월,"[콜레우스포스콜리(제 2012-5호)] 체지방 감소에 도움을 줄 수 있음(생리활성기능 2등급)
[홍경천추출물] 스트레스로 인한 피로개선에 도움을 줄 수 있음.
[비타민C] ①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
[비타민D] ①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌
[비타민B6] ①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비타민B2] ①체내 에너지 생성에 필요
[엽산] ①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비오틴] ①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[아연] ①정상적인 면역기능에 필요②정상적인 세포분열에 필요
[셀렌] ①유해산소로부터 세포를 보호하는데 필요"
엔피케이(주),더블엔 미네랄멀티비타민,201000190041213,20221025,제조일로부터 24 개월,"[비타민C]①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필
요
[비타민B1]①탄수화물과 에너지 대사에 필요
[비타민B6]①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비타민B2]①체내 에너지 생성에 필요
[판토텐산]①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[엽산]①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비타민B12]①정상적인 엽산 대사에 필요
[비타민D]①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험감소에 도움을 줌
[아연]①정상적인 면역기능에 필요②정상적인 세포분열에 필요
[마그네슘]①에너지 이용에 필요②신경과 근육 기능 유지에 필요"
엔피케이(주),더블엔 활성형 엽산 800,201000190041330,20231110,제조일로부터 24개월,"[비타민B6]①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[엽산]①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비타민B12]①정상적인 엽산 대사에 필요
[비타민D]①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌
[아연]①정상적인 면역기능에 필요②정상적인 세포분열에 필요
[셀렌]①유해산소로부터 세포를 보호하는데 필요"
(주)알피바이오,더블유케어 데일리 멀티팩,200400170061762,20241015,제조일로부터 18개월,"[EPA 및 DHA 함유 유지]
- 혈중 중성지질 개선･혈행 개선･건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음

[프로바이오틱스] 
- 유산균 증식 및 유해균 억제･배변활동 원활･장 건강에 도움을 줄 수 있음

[셀레늄]
- 유해산소로부터 세포를 보호하는데 필요

[비타민B6]
- 단백질 및 아미노산 이용에 필요
- 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[비타민C]
- 결합조직 형성과 기능유지에 필요
- 철의 흡수에 필요
- 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요

[비타민D]
- 칼슘과 인이 흡수되고 이용되는데 필요
- 뼈의 형성과 유지에 필요
- 골다공증발생 위험 감소에 도움을 줌

[아연]
- 정상적인 면역기능에 필요
- 정상적인 세포분열에 필요

[구리]
- 철의 운반과 이용에 필요
- 유해산소로부터 세포를 보호하는데 필요

[크롬]
- 체내 탄수화물, 지방, 단백질 대사에 관여

[망간]
- 뼈 형성에 필요
- 에너지 이용에 필요
- 유해산소로부터 세포를 보호하는데 필요

[비타민 B2]
- 체내 에너지 생성에 필요

[비타민 B12]
- 정상적인 엽산 대사에 필요

[비타민 B1]
- 탄수화물과 에너지 대사에 필요"
엔피케이(주),더비랩 기억력,201000190041310,20230817,제조일로부터 24개월,"[홍삼]①면역력 증진･피로개선에 도움을 줄 수 있음②혈소판 응집억제를 통한 혈액흐름･기억력 개선･항산화에 도움을 줄 수 있음
[은행잎 추출물]①기억력 개선･혈행 개선에 도움을 줄 수 있음
[비타민C]①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
[비타민B1]①탄수화물과 에너지 대사에 필요
[나이아신]①체내 에너지 생성에 필요
[비타민B6]①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비타민B12]①정상적인 엽산 대사에 필요
[비타민E]①항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
[아연]①정상적인 면역기능에 필요②정상적인 세포분열에 필요
[망간]①뼈 형성에 필요②에너지 이용에 필요②유해산소로부터 세포를 보호하는데 필요
[셀레늄]①유해산소로부터 세포를 보호하는데 필요
[구리]①철의 운반과 이용에 필요②유해산소로부터 세포를 보호하는데 필요"
(주)한국씨엔에스팜,더스트롱 포 맨,200400200071435,20150522,제조일로부터 24개월,"[비타민B1]①탄수화물과 에너지 대사에 필요
[비타민B2]①체내 에너지 생성에 필요
[비타민B6]①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비타민C]①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③유해산소로부터 세포를 보호하는데 필요
[비타민D]①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌
[비타민E]①유해산소로부터 세포를 보호하는데 필요
[엽산]①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[아연]①정상적인 면역기능에 필요②정상적인 세포분열에 필요
[셀레늄(또는 셀렌)]①유해산소로부터 세포를 보호하는데 필요
[마그네슘]①에너지 이용에 필요②신경과 근육 기능 유지에 필요
"
(주)한국씨엔에스팜,더스트롱포맨 옥타,200400200072199,20190617,제조일로부터 24개월,"[옥타코사놀 함유 유지] ①지구력 증진에 도움을 줄 수 있음

[비타민B1] ①탄수화물과 에너지 대사에 필요

[비타민B2] ①체내 에너지 생성에 필요

[비타민B6] ①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[비타민C] ①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요

[비타민D] ①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌

[비타민E] ①항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요

[아연] ①정상적인 면역기능에 필요②정상적인 세포분열에 필요

[엽산]①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[마그네슘] ①에너지 이용에 필요②신경과 근육 기능 유지에 필요

[셀렌] ①유해산소로부터 세포를 보호하는데 필요"
(주)한국씨엔에스팜,더스트롱포맨 올인원,200400200073097,20240223,제조일로부터 24개월까지,"[옥타코사놀 함유 유지] 지구력 증진에 도움을 줄 수 있음
[홍경천 추출물] 스트레스로 인한 피로 개선에 도움을 줄 수 있음
[비타민 B1] 탄수화물과 에너지 대사에 필요
[비타민 B2] 체내 에너지 생성에 필요
[비타민 B6] 단백질 및 아미노산 이용에 필요/혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비타민 C] 결합조직 형성과 기능유지에 필요/철의 흡수에 필요/항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
[비타민 D] 칼슘과 인이 흡수되고 이용되는데 필요/뼈의 형성과 유지에 필요/골다공증발생 위험 감소에 도움을 줌
[비타민 E] 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
[아연] 정상적인 면역기능에 필요/정상적인 세포분열에 필요
[마그네슘] 에너지 이용에 필요/신경과 근육 기능 유지에 필요
[셀렌] 유해산소로부터 세포를 보호하는데 필요
[엽산] 세포와 혈액생성에 필요/태아 신경관의 정상 발달에 필요/혈액의 호모시스테인 수준을 정상으로 유지하는데 필요"
