제품명,기능성,processed_text
더마타민에프(F),"NAG(N-아세틸글루코사민) : 관절 및 연골 건강·피부보습에 도움을 줄 수 있음
비타민B1 : 탄수화물과 에너지 대사에 필요
비타민B2 : 체내 에너지 생성에 필요
비타민B6 : ①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
나이아신 : 체내 에너지 생성에 필요
판토텐산 : 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요",틸글루 코 민 관절 연골 피부 보습 줄 수 비타민 에너지 비타민 에너지 생 비타민 단백질 아미노산 혈액 시스테인 나이아신 에너지 생 판토텐산 지방 단백질 에너지 생
더모이스처,"[비타민A]
어두운 곳에서 시각 적응을 위해 필요
피부와 점막을 형성하고 기능을 유지하는데 필요
상피세포의 성장과 발달에 필요

[나이아신]
체내 에너지 생성에 필요

[판토텐산]
지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

[비오틴]
지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

[비타민C]
결합조직 형성과 기능유지에 필요
철의 흡수에 필요
항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요

[NAG(엔에이지, N-아세틸글루코사민, N-Acetylglucosamine)]
관절 및 연골 건강에 도움을 줄 수 있음

[히알루론산]
피부보습에 도움을 줄 수 있음",비타민 곳 피부 점막 상피세포 나이아신 에너지 생 판토텐산 지방 단백질 에너지 생 비오틴 지방 단백질 에너지 생 비타민 철 항산화 산소 에이지 틸글루 코 민 관절 연골 줄 수 히알루론산 피부 보습 줄 수
더블 관절&근력케어,"[오미자추출물] (국문) 근력 개선에 도움을 줄 수 있음 (영문) Help to improve muscle strength

[엠에스엠]① 관절 및 연골건강에 도움을 줄 수 있음",오미자 물 근력 줄 수 엠에스 엠 관절 연골 줄 수
더블업 관절ㆍ연골 밸런스,① 관절 및 연골건강에 도움을 줄 수 있음,관절 연골 줄 수
더블케어 크릴56,"크릴오일(SuperbaTM Boost)(제2023-13호) : (국문) (1) 체지방 감소에 도움을 줄 수 있음 (2) 관절건강에 도움을 줄 수 있음, (영문) (1) May help to reduce body fat (2) May help to maintain healthy joint
",크릴 오일 호 체지방 감소 줄 수 관절 줄 수
더셀 엠에스엠 관절튼튼,① 관절 및 연골건강에 도움을 줄 수 있음,관절 연골 줄 수
더신나게_다시관절,"[엠에스엠(MSM, 디메틸설폰) ① 관절 및 연골건강에 도움을 줄 수 있음
[NAG(엔에이지, N-Acetylglucosamine) ①관절 및 연골 건강에 도움을 줄 수 있음
[칼슘] ①뼈와 치아 형성에 필요②신경과 근육 기능 유지에 필요③정상적인 혈액응고에 필요④골다공증발생 위험 감소에 도움을 줌",엠에스 엠 디메틸 설폰 관절 연골 줄 수 에이지 관절 연골 줄 수 칼슘 뼈 치아 신경 근육 혈액 골다공증 감소
더웰스(The wells) 관절,① 관절 및 연골건강에 도움을 줄 수 있음,관절 연골 줄 수
더이앤 조인트,"[N-아세틸글루코사민]
①관절 및 연골 건강에 도움을 줄 수 있음",틸글루 코 민 관절 연골 줄 수
더조인트7,"[비타민D]
칼슘과 인이 흡수되고 이용되는데 필요
뼈의 형성과 유지에 필요
골다공증발생 위험 감소에 도움을 줌

[NAG]
관절 및 연골 건강 ･ 피부보습에 도움을 줄 수 있음

[엠에스엠]
관절 및 연골건강에 도움을 줄 수 있음",비타민 칼슘 인 뼈 골다공증 감소 관절 연골 피부 보습 줄 수 엠에스 엠 관절 연골 줄 수
더조인트U2,"[엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰)]① 관절 및 연골건강에 도움을 줄 수 있음
[NAG(엔에이지, N-아세틸글루코사민, N-Acetylglucosamine)]①관절 및 연골건강에 도움을 줄 수 있음 
[비타민D]①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험감소에 도움을 줌",엠에스 엠 디메틸 설폰 관절 연골 줄 수 에이지 틸글루 코 민 관절 연골 줄 수 비타민 칼슘 인 뼈 골다공증 감소
더파르마 조인터마신,"[강황추출물(터마신)(제2014-2호)]
관절건강에 도움을 줄 수 있음",강황 물 터 호 관절 줄 수
데이팩 헬씨본,"[엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰)]
관절 및 연골건강에 도움을 줄 수 있음

[칼슘]
① 뼈와 치아 형성에 필요
② 신경과 근육 기능 유지에 필요
③ 정상적인 혈액응고에 필요
④ 골다공증발생 위험 감소에 도움을 줌

[N-아세틸글루코사민]
관절 및 연골건강에 도움을 줄 수 있음

[마그네슘]
① 에너지 이용에 필요
② 신경과 근육 기능 유지에 필요

[비타민D]
① 칼슘과 인이 흡수되고 이용되는데 필요
② 뼈의 형성과 유지에 필요
③ 골다공증발생 위험 감소에 도움을 줌",엠에스 엠 디메틸 설폰 관절 연골 줄 수 칼슘 뼈 치아 신경 근육 혈액 골다공증 감소 틸글루 코 민 관절 연골 줄 수 마그네슘 에너지 신경 근육 비타민 칼슘 인 뼈 골다공증 감소
데일리그린 슈퍼관절,[엠에스엠(MSM)] ① 관절 및 연골건강에 도움을 줄 수 있음,엠에스 엠 관절 연골 줄 수
데일리베스트 N-아세틸 MSM,"①관절 및 연골 건강·피부보습에 도움을 줄 수 있음

① 관절 및 연골건강에 도움을 줄 수 있음

①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌",관절 연골 피부 보습 줄 수 관절 연골 줄 수 칼슘 인 뼈 골다공증 감소
데일리케어톡 프리미엄 엠에스엠(MSM)100,[엠에스엠(MSM)] 관절 및 연골 강에 도움을 줄 수 있음,엠에스 엠 관절 연골 강 줄 수
데일리코어 뮤코다당단백 콘드로이친,[뮤코다당･단백] 관절 및 연골건강에 도움을 줄 수 있음,뮤 코다 단백 관절 연골 줄 수
데커신더블업,"1) 참당귀추출분말(Nutragen) : 노화로 저하된 인지기능 개선에 도움을 줄 수 있음, 관절건강에 도움을 줄 수 있음.
2) 비타민D : 칼슘과 인이 흡수되고 이용되는데 필요, 뼈의 형성과 유지에 필요, 골다공증발생 위험 감소에 도움을 줌. 
3) 아연 : 정상적인 면역기능에 필요, 정상적인 세포분열에 필요.  ",참당귀 분말 노화 저하 인지 줄 수 관절 줄 수 비타민 칼슘 인 뼈 골다공증 감소 아연 면역
동국 MSM 솔루션,① 관절 및 연골건강에 도움을 줄 수 있음,관절 연골 줄 수
동영제 관절건강 보스웰리아,"관절 및 연골건강에 도움을 줄 수 있음
(생리활성기능 2등급)

①에너지 이용에 필요②신경과 근육 기능 유지에 필요

①유해산소로부터 세포를 보호하는데 필요

①정상적인 면역기능에 필요②정상적인 세포분열에 필요

①뼈 형성에 필요②에너지 이용에 필요③유해산소로부터 세포를 보호하는데 필요

①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌",관절 연골 줄 수 생리 활 에너지 신경 근육 산소 면역 뼈 에너지 산소 칼슘 인 뼈 골다공증 감소
동화N아세틸글루코사민,"[N-아세틸글루코사민]①관절 및 연골 건강·피부보습에 도움을 줄 수 있음
[비타민D]①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌",틸글루 코 민 관절 연골 피부 보습 줄 수 비타민 칼슘 인 뼈 골다공증 감소
두드림 관절 연골 MSM 뼈건강 비타민D,"[엠에스엠]
(1) 관절 및 연골건강에 도움을 줄 수 있음
[비타민D]
(1)칼슘과 인이 흡수되고 이용되는데 필요
(2)뼈의 형성과 유지에 필요
(3)골다공증발생 위험 감소에 도움을 줌",엠에스 엠 관절 연골 줄 수 비타민 칼슘 인 뼈 골다공증 감소
듀썸 헬씨 유코드 참홍,"아연 - 정상적인 면역기능에 필요, 정상적인 세포분열에 필요
참당귀추출분말(Nutragen)(기능성원료인정 제2014-44호) – 노화로 저하된 인지기능 개선에 도움을 줄 수 있음, 관절건강에 도움을 줄 수 있음(생리활성기능 2등급)",아연 면역 참당귀 분말 원료 인정 호 노화 저하 인지 줄 수 관절 줄 수 생리 활
듀오랩 바이옴 플러스 MSM N-아세틸글루코사민 비타민D,"[엠에스엠] 관절 및 연골건강에 도움을 줄 수 있음
[N-아세틸글루코사민] 관절 및 연골건강에 도움을 줄 수 있음 
[비타민D] (1)칼슘과 인이 흡수되고 이용되는데 필요
              (2) 뼈의 형성과 유지에 필요
              (3) 골다공증발생 위험 감소에 도움을 줌",엠에스 엠 관절 연골 줄 수 틸글루 코 민 관절 연골 줄 수 비타민 칼슘 인 뼈 골다공증 감소
드리내 관절 연골 MSM 뼈건강 비타민D,"- 비타민D :  ① 칼슘과 인이 흡수되고 이용되는데 필요, ② 뼈의 형성과 유지에 필요, ③ 골다공증발생 위험 감소에 도움을 줌
- MSM : 관절 및 연골건강에 도움을 줄 수 있음",비타민 칼슘 인 뼈 골다공증 감소 관절 연골 줄 수
드림MSM,① 관절 및 연골건강에 도움을 줄 수 있음,관절 연골 줄 수
디:데이톡 뷰◆스킨,①관절 및 연골 건강·피부보습에 도움을 줄 수 있음,관절 연골 피부 보습 줄 수
디메틸설폰,① 관절 및 연골건강에 도움을 줄 수 있음,관절 연골 줄 수
디메틸설폰에프,"[Dimethylsulfone(MSM)(제2007-20호)]관절건강에 도움이 될 수 있습니다. (기타기능II)
",호 관절 수
디스틸퓨어 식물성엠에스엠 플러스,"[엠에스엠(MSM)] ① 관절 및 연골건강에 도움을 줄 수 있음

[아연] ①정상적인 면역기능에 필요②정상적인 세포분열에 필요",엠에스 엠 관절 연골 줄 수 아연 면역
디스틸퓨어 식물성엠에스엠 플러스,"①정상적인 면역기능에 필요②정상적인 세포분열에 필요

① 관절 및 연골건강에 도움을 줄 수 있음",면역 관절 연골 줄 수
라라 조인트 엠(LALA JOINT M),"[엠에스엠(MSM)]① 관절 및 연골 건강에 도움을 줄 수 있음
",엠에스 엠 관절 연골 줄 수
라라조인트 캡슐,[엠에스엠(디메틸설폰)] 관절 및 연골건강에 도움을 줄 수 있음,엠에스 엠 디메틸 설폰 관절 연골 줄 수
라라조인트정,"[엠에스엠(디메틸설폰)] 관절 및 연골건강에 도움을 줄 수 있음

[비타민C] ①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③유해산소로부터 세포를 보호하는데 필요",엠에스 엠 디메틸 설폰 관절 연골 줄 수 비타민 철 산소
라비앙 퍼펙트 이너 부스터 밸런스 (PERFECT INNER BOOSTER BALANCE),"①관절 및 연골 건강·피부보습에 도움을 줄 수 있음

(1) 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요",관절 연골 피부 보습 줄 수 지방 단백질 에너지 생
라세핀 앤 관절엔 MSM,"[칼슘] 뼈와 치아 형성에 필요 / 신경과 근육 기능 유지에 필요 / 정상적인 혈액응고에 필요 / 골다공증 발생 위험 감소에 도움을 줌
[엠에스엠(MSM)] 관절 및 연골건강에 도움을 줄 수 있음",칼슘 뼈 치아 신경 근육 혈액 골다공증 감소 엠에스 엠 관절 연골 줄 수
라이토플렉스,관절 및 연골 건강에 도움을 줄 수 있음(생리활성기능 2등급),관절 연골 줄 수 생리 활
라이토플렉스 U플러스,"[로즈힙분말]
(국문) 관절 및 연골 건강에 도움을 줄 수 있음
(영문) May help to maintain healthy joint and cartilage",힙 분말 관절 연골 줄 수
라이토플렉스 골드,관절 및 연골 건강에 도움을 줄 수 있음,관절 연골 줄 수
라이토플렉스 리뉴얼,"[로즈힙분말]관절 및 연골 건강에 도움을 줄 수 있음 (생리활성기능 2등급)
",힙 분말 관절 연골 줄 수 생리 활
라이토플렉스 프리미엄,관절 및 연골 건강에 도움을 줄 수 있음(생리활성기능 2등급),관절 연골 줄 수 생리 활
라이토플렉스 플래티넘,"- 관절 및 연골 건강에 도움을 줄 수 있음
",관절 연골 줄 수
라이토플렉스 플러스,- 관절 및 연골 건강에 도움을 줄 수 있음,관절 연골 줄 수
라이토플렉스-관절,관절 및 연골 건강에 도움을 줄 수 있음(생리활성기능 2등급),관절 연골 줄 수 생리 활
라이프케어 엠에스엠,① 관절 및 연골건강에 도움을 줄 수 있음,관절 연골 줄 수
라이프토콜 뮤코다당 단백 상어 콘드로이친 1200 60정 Chondroitin,관절 및 연골건강에 도움을 줄 수 있음,관절 연골 줄 수
라트라365,"① 관절 및 연골건강에 도움을 줄 수 있음

①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌",관절 연골 줄 수 칼슘 인 뼈 골다공증 감소
라파플러스글루코사민,"
①관절 및 연골 건강에 도움",관절 연골
라파플러스글루코사민,[글루코사민 제품]①관절 및 연골 건강에 도움,글루코사민 관절 연골
락보인호프글루코사민,"[글루코사민 제품]①관절 및 연골 건강에 도움
[호프추출물]관절 건강에 도움을 줄 수 있습니다(기타기능II)
",글루코사민 관절 연골 호프 물 관절 줄 수
락티브 관절튼튼 식물성 MSM(엠에스엠),"엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰)
관절 및 연골건강에 도움을 줄 수 있음",엠에스 엠 디메틸 설폰 관절 연골 줄 수
랩트리션 스킨엔에이지 플러스,"1) 관절 및 연골 건강, 피부보습에 도움을 줄 수 있음
2) 피부보습, 자외선에 의한 피부손상으로부터 피부 건강 유지에 도움을 줄 수 있음",관절 연골 피부 보습 줄 수 피부 보습 자외선 피부 손상 피부 줄 수
로얄 관절건강 MSM 골드,① 관절 및 연골건강에 도움을 줄 수 있음,관절 연골 줄 수
로얄 관절건강 MSM 골드,① 관절 및 연골건강에 도움을 줄 수 있음,관절 연골 줄 수
로젠영,①관절 및 연골 건강에 도움을 줄 수 있음,관절 연골 줄 수
로즈힙 유플렉스 골드100,"(국문) 관절 및 연골 건강에 도움을 줄 수 있음
(영문) May help to maintain healthy joint and cartilage",관절 연골 줄 수
로즈힙관절,로즈힙분말(제2013-1호) : 관절 및 연골건강에 도움을 줄 수 있음(생리활성기능 2등급),힙 분말 호 관절 연골 줄 수 생리 활
로즈힙분말,"[로즈힙분말]관절 및 연골 건강에 도움을 줄 수 있음(생리활성기능 2등급)
",힙 분말 관절 연골 줄 수 생리 활
로즈힙유플렉스골드100,"[로즈힙(Rosa Canina)]관절 및 연골 건강에 도움을 줄 수 있음(생리활성기능 2등급)
",로즈힙 관절 연골 줄 수 생리 활
로즈힙프리미엄,"[로즈힙분말]관절 및 연골 건강에 도움을 줄 수 있음 (생리활성기능 2등급)
",힙 분말 관절 연골 줄 수 생리 활
롱리치헬스케어아시락편,"[글루코사민 제품]①관절 및 연골 건강에 도움을 줄 수 있음
[비타민D]①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌
[아연]①정상적인 면역기능에 필요②정상적인 세포분열에 필요
",글루코사민 관절 연골 줄 수 비타민 칼슘 인 뼈 골다공증 감소 아연 면역
루마엑스,"[초록입홍합추출오일복합물]관절건강에 도움이 될 수 있음
[홍삼제품]①면역력 증진②피로개선③혈소판 응집 억제를 통한 혈액흐름④기억력 개선⑤항산화에 도움을 줄 수 있음",초록 입 홍합 복합 물 관절 수 홍삼 면역 피로 혈액 기억 항산화 줄 수
루마큐 골드,"
관절건강에 도움이 될 수 있습니다. ",관절 수
르부벨라 MSM,관절 및 연골건강에 도움을 줄 수 있음,관절 연골 줄 수
리뉴조인트,① 관절 및 연골건강에 도움을 줄 수 있음,관절 연골 줄 수
리본 므스므,"① 관절 및 연골건강에 도움을 줄 수 있음

①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌",관절 연골 줄 수 칼슘 인 뼈 골다공증 감소
리빙케어 N-아세틸글루코사민 ,"①관절 및 연골 건강에 도움을 줄 수 있음

①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌",관절 연골 줄 수 칼슘 인 뼈 골다공증 감소
리빙케어 N-아세틸글루코사민,"①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌

①관절 및 연골 건강에 도움을 줄 수 있음",칼슘 인 뼈 골다공증 감소 관절 연골 줄 수
리얼 N-아세틸글루코사민MSM,"① 관절 및 연골건강에 도움을 줄 수 있음

①관절 및 연골 건강·피부보습에 도움을 줄 수 있음

①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌",관절 연골 줄 수 관절 연골 피부 보습 줄 수 칼슘 인 뼈 골다공증 감소
리얼 관절케어 MSM,"[엠에스엠(MSM)] ① 관절 및 연골건강에 도움을 줄 수 있음

[N-아세틸글루코사민] ①관절 및 연골건강에 도움을 줄 수 있음

[비타민D] ①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌",엠에스 엠 관절 연골 줄 수 틸글루 코 민 관절 연골 줄 수 비타민 칼슘 인 뼈 골다공증 감소
리얼 엠에스엠 2000,관절 및 연골건강에 도움을 줄 수 있음,관절 연골 줄 수
리얼그램 관절 MSM 글루코사민,"[NAG/N-아세틸글루코사민] 관절 및 연골건강에 도움을 줄 수 있음
[엠에스엠/MSM] 관절 및 연골건강에 도움을 줄 수 있음
[비타민D] 칼슘과 인이 흡수되고 이용되는데 필요 / 뼈의 형성과 유지에 필요 / 골다공증발생 위험 감소에 도움을 줌
",틸글루 코 민 관절 연골 줄 수 엠에스 엠 관절 연골 줄 수 비타민 칼슘 인 뼈 골다공증 감소
리얼닥터 관절연골케어 MSM 2000,"[엠에스엠]
① 관절 및 연골건강에 도움을 줄 수 있음
[비타민D]
①칼슘과 인이 흡수되고 이용되는데 필요 ②뼈의 형성과 유지에 필요 ③골다공증발생 위험 감소에 도움을 줌
[망간]
①뼈 형성에 필요 ②에너지 이용에 필요 ③유해산소로부터 세포를 보호하는데 필요",엠에스 엠 관절 연골 줄 수 비타민 칼슘 인 뼈 골다공증 감소 망간 뼈 에너지 산소
리얼닥터 소연골 뮤코다당단백[콘드로이친] 1200,"[뮤코다당･단백] ①관절 및 연골건강에 도움을 줄 수 있음
[망간] ①뼈 형성에 필요②에너지 이용에 필요③유해산소로부터 세포를 보호하는데 필요
[비타민D] ①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌",뮤 코다 단백 관절 연골 줄 수 망간 뼈 에너지 산소 비타민 칼슘 인 뼈 골다공증 감소
리제니케어.에이(리제니케어.A),①관절 및 연골 건강·피부보습에 도움을 줄 수 있음,관절 연골 피부 보습 줄 수
리턴업 관절케어 MSM,"①관절 및 연골건강에 도움을 줄 수 있음
①체내 에너지 생성에 필요",관절 연골 줄 수 에너지 생
리턴업 관절케어 스페셜 MSM,"①관절 및 연골건강에 도움을 줄 수 있음
①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌
①체내 에너지 생성에 필요",관절 연골 줄 수 칼슘 인 뼈 골다공증 감소 에너지 생
리프리놀,“관절건강에 도움을 줄 수 있음(기타기능II)”,관절 줄 수
리프리놀 관절건강 초록입홍합 오일,"[리프리놀-초록입홍합추출오일(제2009-49호)] 
 (국문) 관절 건강에 도움을 줄 수 있음 
 (영문) May help to maintain healthy joint
",리프 리놀 초록 입 홍합 오일 호 관절 줄 수
리프리놀 플러스,"리프리놀-초록입홍합추출오일(제2009-49호) : (국문) 관절 건강에 도움이 줄 수 있음 (영문) May help to maintain healthy joint
비타민E : 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
비타민D : (1) 칼슘과 인이 흡수되고 이용되는데 필요 (2) 뼈의 형성과 유지에 필요 (3) 골다공증발생 위험 감소에 도움을 줌",리프 리놀 초록 입 홍합 오일 호 관절 줄 수 비타민 항산화 산소 비타민 칼슘 인 뼈 골다공증 감소
리프리놀-초록입홍합추출오일 컴포트,관절 건강에 도움을 줄 수 있음.,관절 줄 수
릭앤케어 MSM1500 ,"① 관절 및 연골건강에 도움을 줄 수 있음

①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌",관절 연골 줄 수 칼슘 인 뼈 골다공증 감소
릭앤케어 MSM1500,"[엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰)] ① 관절 및 연골건강에 도움을 줄 수 있음

[비타민D] ①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌",엠에스 엠 디메틸 설폰 관절 연골 줄 수 비타민 칼슘 인 뼈 골다공증 감소
마관절 프리미엄100,"[칼슘] 뼈와 치아 형성에 필요,신경과 근육 기능 유지에 필요,정상적인 혈액응고에 필요,골다공증발생 위험 감소에 도움을 줌

[엠에스엠] 관절 및 연골건강에 도움을 줄 수 있음",칼슘 뼈 치아 신경 근육 혈액 골다공증 감소 엠에스 엠 관절 연골 줄 수
