제품명,기능성,processed_text
더블발란스-그린,"①배변활동 원활에 도움을 줄 수 있음

①항산화·체지방 감소·혈중 콜레스테롤 개선에 도움을 줄 수 있음

①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③유해산소로부터 세포를 보호하는데 필요

①유해산소로부터 세포를 보호하는데 필요

①정상적인 면역기능에 필요②정상적인 세포분열에 필요

①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요",배변 줄 수 항산화 체지방 감소 콜레스테롤 줄 수 철 산소 산소 면역 지방 단백질 에너지 생
더블발란스-플러스,"(국문) 체지방 감소에 도움을 줄 수 있음
(영문) May help to reduce body fat

①항산화·체지방 감소·혈중 콜레스테롤 개선에 도움을 줄 수 있음

①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요

①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌

(1) 탄수화물과 에너지 대사에 필요

(1) 체내 에너지 생성에 필요",체지방 감소 줄 수 항산화 체지방 감소 콜레스테롤 줄 수 철 항산화 산소 칼슘 인 뼈 골다공증 감소 에너지 에너지 생
더블버닝 카테킨 알로에,"①항산화·체지방 감소·혈중 콜레스테롤 개선에 도움을 줄 수 있음

①배변활동 원활에 도움을 줄 수 있음",항산화 체지방 감소 콜레스테롤 줄 수 배변 줄 수
더블샷칼로리컷피,"[가르시니아캄보지아 추출물] 
탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줄 수 있음",아캄 보지 물 지방 체지방 감소 줄 수
더블스틱 아이돌 다이어트,"녹차추출물 : 항산화·체지방 감소·혈중 콜레스테롤 개선에 도움을 줄 수 있음
비타민C : (1) 결합조직 형성과 기능유지에 필요 (2) 철의 흡수에 필요 (3) 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요",녹차 물 항산화 체지방 감소 콜레스테롤 줄 수 비타민 철 항산화 산소
더블슬림,"[녹차추출물]
①항산화·체지방 감소·혈중 콜레스테롤 개선에 도움을 줄 수 있음",녹차 물 항산화 체지방 감소 콜레스테롤 줄 수
더블슬림다이어트,"[비타민B1]①탄수화물과 에너지 대사에 필요
[비타민B2]①체내 에너지 생성에 필요
[나이아신]①체내 에너지 생성에 필요
[판토텐산]①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[비타민B6]①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비타민C]①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③유해산소로부터 세포를 보호하는데 필요
[아연]①정상적인 면역기능에 필요②정상적인 세포분열에 필요
[가르시니아캄보지아추출물]①탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줌
",비타민 에너지 비타민 에너지 생 나이아신 에너지 생 판토텐산 지방 단백질 에너지 생 비타민 단백질 아미노산 혈액 시스테인 비타민 철 산소 아연 면역 아캄 보지 물 지방 체지방 감소
더블슬림다이어트가르시니아,[가르시니아캄보지아추출물]①탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줌,아캄 보지 물 지방 체지방 감소
더블슬림핏,"①탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줌

①배변활동 원활에 도움을 줄 수 있음

①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③유해산소로부터 세포를 보호하는데 필요",지방 체지방 감소 배변 줄 수 지방 단백질 에너지 생 철 산소
더블아웃,"* 마그네슘
① 에너지 이용에 필요
② 신경과 근육 기능 유지에 필요

* 비오틴
① 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

* 비타민B1
① 탄수화물과 에너지 대사에 필요

* 비타민B2
① 체내 에너지 생성에 필요

* 비타민B6
① 단백질 및 아미노산 이용에 필요
② 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

* 비타민C
① 결합조직 형성과 기능유지에 필요
② 철의 흡수에 필요
③ 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요

* 비타민D
① 칼슘과 인이 흡수되고 이용되는데 필요
② 뼈의 형성과 유지에 필요
③ 골다공증발생 위험 감소에 도움을 줌

* 아연
① 정상적인 면역기능에 필요
② 정상적인 세포분열에 필요

* 키토산 / 키토올리고당
① 혈중 콜레스테롤 개선·체지방 감소에 도움을 줄 수 있음
	1) 혈중 콜레스테롤 개선에 도움을 줄 수 있음 ( : 키토산 또는 키토올리고당으로서 1.2~4.5 g)
	2) 체지방 감소에 도움을 줄 수 있음 ( : 키토산으로서 3.0~4.5 g, 키토올리고당으로서 3 g)

* 판토텐산 ① 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요",마그네슘 에너지 신경 근육 비오틴 지방 단백질 에너지 생 비타민 에너지 비타민 에너지 생 비타민 단백질 아미노산 혈액 시스테인 비타민 철 항산화 산소 비타민 칼슘 인 뼈 골다공증 감소 아연 면역 키토산 키토 올리고당 콜레스테롤 체지방 감소 줄 수 콜레스테롤 줄 수 키토산 키토 올리고당 체지방 감소 줄 수 키토산 키토 올리고당 판토텐산 지방 단백질 에너지 생
더블에스S,"[콜레우스포스콜리(제 2012-5호)] 체지방 감소에 도움을 줄 수 있음(생리활성기능 2등급)
[홍경천추출물] 스트레스로 인한 피로개선에 도움을 줄 수 있음.
[비타민C] ①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
[비타민D] ①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌
[비타민B6] ①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비타민B2] ①체내 에너지 생성에 필요
[엽산] ①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비오틴] ①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[아연] ①정상적인 면역기능에 필요②정상적인 세포분열에 필요
[셀렌] ①유해산소로부터 세포를 보호하는데 필요",콜 레우스 포스 콜리 호 체지방 감소 줄 수 생리 활 홍 물 스트레스 피로 줄 수 비타민 철 항산화 산소 비타민 칼슘 인 뼈 골다공증 감소 비타민 단백질 아미노산 혈액 시스테인 비타민 에너지 생 엽산 혈액 생 태아 경관 혈액 시스테인 비오틴 지방 단백질 에너지 생 아연 면역 셀렌 산소
더블임팩 슬림라인 다이어트,"[가르시니아 캄보지아 추출물] 탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줄 수 있음
[프로바이오틱스] 유산균 증식 및 유해균 억제에 도움을 줄 수 있음, 배변활동 원활에 도움을 줄 수 있음, 장건강에 도움을 줄 수 있음",캄보지 물 지방 체지방 감소 줄 수 프로바이오틱스 유산균 균 줄 수 배변 줄 수 장 줄 수
더블임팩 에스라인 다이어트,"탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줄 수 있음

유산균 증식 및 유해균 억제･배변활동 원활･장 건강에 도움을 줄 수 있음",지방 체지방 감소 줄 수 유산균 균 배변 장 줄 수
더블임팩 엑티포닌 다이어트,"[돌외잎주정추출분말(제2013-8호)] 체지방 감소에 도움을 줄 수 있음
[은행잎 추출물] 기억력 개선·혈행 개선에 도움을 줄 수 있음",돌외잎 주정 분말 호 체지방 감소 줄 수 은행 잎 물 기억 혈행 줄 수
더블컷 메가 슬림 플러스,"가르시니아캄보지아 추출물 : 탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줄 수 있음
옥수수수염·레몬밤추출복합물(CL-5MoA)(제2023-7호) : (국문) 체지방 감소에 도움을 줄 수 있음 (영문) May help to reduce body fat
바나바잎 추출물 : 식후 혈당상승 억제에 도움을 줄 수 있음",아캄 보지 물 지방 체지방 감소 줄 수 옥수수 수염 레몬 밤 복합 물 호 체지방 감소 줄 수 바나바 잎 물 식후 혈당 상승 줄 수
더블컷 에스,"[녹차추출물] 항산화·체지방 감소·혈중 콜레스테롤 개선에 도움을 줄 수 있음
[바나바잎 추출물] 식후 혈당상승 억제에 도움을 줄 수 있음",녹차 물 항산화 체지방 감소 콜레스테롤 줄 수 바나바 잎 물 식후 혈당 상승 줄 수
더블컷 팻 블럭마스터,"①혈중 콜레스테롤 개선·체지방 감소에 도움을 줄 수 있음

①탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줌

①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③유해산소로부터 세포를 보호하는데 필요

①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요",콜레스테롤 체지방 감소 줄 수 지방 체지방 감소 철 산소 지방 단백질 에너지 생
더블컷 팻블럭 마스터,"①탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줌

①혈중 콜레스테롤 개선에 도움을 줄 수 있음

①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③유해산소로부터 세포를 보호하는데 필요

①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요",지방 체지방 감소 콜레스테롤 줄 수 철 산소 지방 단백질 에너지 생
더블컷팻블럭마스터,"[키토산 제품]①혈중 콜레스테롤 개선에 도움을 줄 수 있음 ②체지방 감소에 도움을 줄 수 있음
[가르시니아캄보지아추출물]①탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줌   ",키토산 콜레스테롤 줄 수 체지방 감소 줄 수 아캄 보지 물 지방 체지방 감소
더블케어 크릴56,"크릴오일(SuperbaTM Boost)(제2023-13호) : (국문) (1) 체지방 감소에 도움을 줄 수 있음 (2) 관절건강에 도움을 줄 수 있음, (영문) (1) May help to reduce body fat (2) May help to maintain healthy joint
",크릴 오일 호 체지방 감소 줄 수 관절 줄 수
더빠져라,"[공액리놀레산]①과체중인 성인의 체지방 감소에 도움을 줄 수 있음
[비타민E]①유해산소로부터 세포를 보호하는데 필요",공액 리놀레산 과체중 성인 체지방 감소 줄 수 비타민 산소
더빠져라,"[공액리놀레산] 과체중인 성인의 체지방 감소에 도움을 줄 수 있음
[비타민E] 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요",공액 리놀레산 과체중 성인 체지방 감소 줄 수 비타민 항산화 산소
더빼 아침애(愛),"①탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줌

①배변활동 원활에 도움을 줄 수 있음",지방 체지방 감소 배변 줄 수
더빼아침애(愛),"①탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줄 수 있음

①배변활동 원활에 도움을 줄 수 있음",지방 체지방 감소 줄 수 배변 줄 수
더슬리머스 다이어트 제로 리치크랜베리맛,"[아프리카망고 종자추출물(IGOB131)(제2015-14호)]
-(국문) 체지방 감소에 도움을 줄 수 있음
-(영문) May help to reduce body fat",아프리카 망고 종자 물 호 체지방 감소 줄 수
더슬리머스 다이어트 제로 복숭아맛,"[아프리카망고 종자추출물(IGOB131)(제2015-14호)]
-(국문) 체지방 감소에 도움을 줄 수 있음
-(영문) May help to reduce body fat",아프리카 망고 종자 물 호 체지방 감소 줄 수
더슬리머스 다이어트 제로 트로피칼맛,"[아프리카 망고 종자추출물(IGOB131)(제2015-14호)]
-(국문) 체지방 감소에 도움을 줄 수 있음
-(영문) May help to reduce body fat",아프리카 망고 종자 물 호 체지방 감소 줄 수
더슬림,①탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줌,지방 체지방 감소
더슬림프로,"[가르시니아캄보지아 추출물]①탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줄 수 있음
[비타민B1]①탄수화물과 에너지 대사에 필요
[나이아신]①체내 에너지 생성에 필요
[비타민B6]①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비타민B2]①체내 에너지 생성에 필요
[판토텐산]①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[아연]①정상적인 면역기능에 필요②정상적인 세포분열에 필요",아캄 보지 물 지방 체지방 감소 줄 수 비타민 에너지 나이아신 에너지 생 비타민 단백질 아미노산 혈액 시스테인 비타민 에너지 생 판토텐산 지방 단백질 에너지 생 아연 면역
더쎄라 빼라,"[녹차추출물] ①항산화·체지방 감소·혈중 콜레스테롤 개선에 도움을 줄 수 있음

[알로에 전잎] ①배변활동 원활에 도움을 줄 수 있음

[비타민B1] ①탄수화물과 에너지 대사에 필요

[비타민B2 ①체내 에너지 생성에 필요

[비타민C] ①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요

[셀렌] ①유해산소로부터 세포를 보호하는데 필요

[아연] ①정상적인 면역기능에 필요②정상적인 세포분열에 필요

[엽산] ①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요",녹차 물 항산화 체지방 감소 콜레스테롤 줄 수 알로 잎 배변 줄 수 비타민 에너지 비타민 에너지 생 비타민 철 항산화 산소 셀렌 산소 아연 면역 엽산 혈액 생 태아 경관 혈액 시스테인
더카페 다이어트,"[가르시니아캄보지아 추출물] 
1) 탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줄 수 있음",아캄 보지 물 지방 체지방 감소 줄 수
더카페다이어트,[가르시니아캄보지아추출물] ①탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줄 수 있음,아캄 보지 물 지방 체지방 감소 줄 수
덩티다이어트,"[가르시니아캄보지아 추출물] 탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줄 수 있음

[난소화성말토덱스트린] 배변활동 원활에 도움을 줄 수 있음",아캄 보지 물 지방 체지방 감소 줄 수 난소 화성 말토 덱스트린 배변 줄 수
데드라인일레븐,"탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줄 수 있음

식후 혈당상승 억제·혈중 중성지질 개선·배변활동 원활에 도움을 줄 수 있음",지방 체지방 감소 줄 수 식후 혈당 상승 중성 지질 배변 줄 수
데이 액추얼 퍼포먼스,"①탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줌

①체지방 감소에 도움을 줄 수 있음",지방 체지방 감소 체지방 감소 줄 수
데이&나이트 다이어트,"가르시니아캄보지아추출물 : 탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줄 수 있음
락추로스파우더(Lactulose Powder) : 유익균 증식, 유해균 억제에 도움을 줄 수 있습니다.(생리활성기능 2등급)
녹차추출물 : 항산화, 체지방 감소,혈중 콜레스테롤 개선에 도움을 줄 수 있음
나이아신 : 체내 에너지 생성에 필요
판토텐산 : 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
비타민B1 : 탄수화물과 에너지 대사에 필요",아캄 보지 물 지방 체지방 감소 줄 수 락 추로스 파우더 유익 균 균 줄 수 생리 활 녹차 물 항산화 체지방 감소 콜레스테롤 줄 수 나이아신 에너지 생 판토텐산 지방 단백질 에너지 생 비타민 에너지
데이슬림 발포 비타민 망고스틴맛,"탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줄 수 있음

①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요

(1) 탄수화물과 에너지 대사에 필요

①정상적인 면역기능에 필요②정상적인 세포분열에 필요

(1) 체내 에너지 생성에 필요

(1) 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요",지방 체지방 감소 줄 수 철 항산화 산소 에너지 면역 에너지 생 지방 단백질 에너지 생
데이슬림 발포 비타민 샤인머스캣맛,"탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줄 수 있음

①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요

(1) 탄수화물과 에너지 대사에 필요

①정상적인 면역기능에 필요②정상적인 세포분열에 필요

(1) 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요",지방 체지방 감소 줄 수 철 항산화 산소 에너지 면역 지방 단백질 에너지 생
데이앤나이트 다이어트,"[콜레우스포스콜리추출물(제2012-5호)] 체지방 감소에 도움을 줄 수 있음 (생리활성기능 2등급)

[테아닌] 스트레스로 인한 긴장완화에 도움을 줄 수 있음

[비타민B1] 탄수화물과 에너지 대사에 필요

[비타민B2] 체내 에너지 생성에 필요

[나이아신] 체내 에너지 생성에 필요

[비오틴] 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

[판토텐산] 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요",콜 레우스 포스 콜리 물 호 체지방 감소 줄 수 생리 활 테아닌 스트레스 긴장 완화 줄 수 비타민 에너지 비타민 에너지 생 나이아신 에너지 생 비오틴 지방 단백질 에너지 생 판토텐산 지방 단백질 에너지 생
데이앤나잇 초이스 그린티컷,"- 녹차추출물 : 항산화·체지방 감소·혈중 콜레스테롤 개선에 도움을 줄 수 있음
- 비타민 B1 : 탄수화물과 에너지 대사에 필요",녹차 물 항산화 체지방 감소 콜레스테롤 줄 수 비타민 에너지
데이어트,"[자몽추출물등 복합물(Sinetrol)(제2019-24호)]
(국문) 체지방 감소에 도움을 줄 수 있음
(영문) May help to reduce body fat

[바나바잎추출물]
①식후 혈당상승 억제에 도움을 줄 수 있음

[나이아신]
①체내 에너지 생성에 필요

[판토텐산]
(1) 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

[비타민B1]
(1) 탄수화물과 에너지 대사에 필요

[비타민B2]
(1) 체내 에너지 생성에 필요",자몽 물등 복합 물 호 체지방 감소 줄 수 바나바 잎 물 식후 혈당 상승 줄 수 나이아신 에너지 생 판토텐산 지방 단백질 에너지 생 비타민 에너지 비타민 에너지 생
데이즈 핏핏,"[자일로올리고당(xylooligosaccharide)분말(기능성원료인정 제2009-80호)] (국문) 장내 유익균 증식, 유해균 억제, 배변활동에 도움을 줄 수 있음, (영문) May help to increase beneficial intestinal flora and suppress pathogenic bacteria, May help to improve bowel movements
[마그네슘] 에너지 이용에 필요, 신경과 근육 기능 유지에 필요
[콜레우스포스콜리추출물] 체지방 감소에 도움을 줄 수 있음
[녹차추출물] 항산화·체지방 감소·혈중 콜레스테롤 개선에 도움을 줄 수 있음
[판토텐산] 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[비타민B6] 단백질 및 아미노산 이용에 필요, 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비타민B1] 탄수화물과 에너지 대사에 필요",일로 올리고당 분말 원료 인정 호 장내 유익 균 균 배변 줄 수 마그네슘 에너지 신경 근육 콜 레우스 포스 콜리 물 체지방 감소 줄 수 녹차 물 항산화 체지방 감소 콜레스테롤 줄 수 판토텐산 지방 단백질 에너지 생 비타민 단백질 아미노산 혈액 시스테인 비타민 에너지
데일리 다이어트젤리,"1) 가르시니아캄보지아추출물 : 탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줄 수 있음.
2) 난소화성말토덱스트린 : 식후 혈당상승 억제·배변활동 원활에 도움을 줄 수 있음.",아캄 보지 물 지방 체지방 감소 줄 수 난소 화성 말토 덱스트린 식후 혈당 상승 배변 줄 수
데일리 슬림핏 톡톡,"[가르시니아캄보지아 추출물] 
1) 탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줄 수 있음

[녹차추출물] 
1) 항산화, 체지방 감소, 혈중 콜레스테롤 개선에 도움을 줄 수 있음

[셀렌]
1) 유해산소로부터 세포를 보호하는데 필요

[아연] 
1) 정상적인 면역기능에 필요 
2) 정상적인 세포분열에 필요",아캄 보지 물 지방 체지방 감소 줄 수 녹차 물 항산화 체지방 감소 콜레스테롤 줄 수 셀렌 산소 아연 면역
데일리 카테킨 톡 자몽맛&블랙티맛,"[녹차추출물]①항산화･체지방 감소･혈중 콜레스테롤 개선에 도움을 줄 수 있음	
[나이아신]①체내 에너지 생성에 필요		
[판토텐산]①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요		
[비타민B2]①체내 에너지 생성에 필요		
[비타민B1]①탄수화물과 에너지 대사에 필요		
[바나바잎추출물]①식후 혈당상승 억제에 도움을 줄 수 있음		
[비오틴]①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요		",녹차 물 항산화 체지방 감소 콜레스테롤 줄 수 나이아신 에너지 생 판토텐산 지방 단백질 에너지 생 비타민 에너지 생 비타민 에너지 바나바 잎 물 식후 혈당 상승 줄 수 비오틴 지방 단백질 에너지 생
데일리 칼로리 버닝 콜레우스포스콜리,"[콜레우스포스콜리추출물] 체지방 감소에 도움을 줄 수 있음
[셀렌] 유해산소로부터 세포를 보호하는데 필요
[판토텐산] 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[비타민B6] 단백질 및 아미노산 이용에 필요, 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비타민B1] 탄수화물과 에너지 대사에 필요
[비타민B2] 체내 에너지 생성에 필요",콜 레우스 포스 콜리 물 체지방 감소 줄 수 셀렌 산소 판토텐산 지방 단백질 에너지 생 비타민 단백질 아미노산 혈액 시스테인 비타민 에너지 비타민 에너지 생
데일리녹차카테킨,항산화·체지방 감소·혈중 콜레스테롤 개선에 도움을 줄 수 있음,항산화 체지방 감소 콜레스테롤 줄 수
데일리라인,"[키토산]체지방 감소에 도움을 줄 수 있음 (생리활성기능 2등급), 혈중콜레스테롤 개선에 도움을 줄 수 있음
",키토산 체지방 감소 줄 수 생리 활 콜레스테롤 줄 수
데일리라인D,[키토산 제품]혈중 콜레스테롤 개선. 체지방 감소에 도움을 줄 수 있음,키토산 콜레스테롤 체지방 감소 줄 수
데일리슬림다이어트,"1)가르시니아캄보지아추출물 : 탄수화물이 지방으로 합성되는 것을 억제하여 체지방 감소에 도움을 줄 수 있음 
2)비타민B1 : 탄수화물과 에너지 대사에 필요
3)비타민B2 : 체내 에너지 생성에 필요
4)비타민B6 : 단백질 및 아미노산 이용에 필요, 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
5)비타민C : 결합조직 형성과 기능유지에 필요, 철의 흡수에 필요, 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
6)판토텐산 : 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
7)나이아신 : 체내 에너지 생성에 필요",아캄 보지 물 지방 체지방 감소 줄 수 비타민 에너지 비타민 에너지 생 비타민 단백질 아미노산 혈액 시스테인 비타민 철 항산화 산소 판토텐산 지방 단백질 에너지 생 나이아신 에너지 생
데일리앤바디펫컷,"[콜레우스 포스콜리 추출물(제2012-5호)] 체지방 감소에 도움을 줄 수 있음 (생리활성기능 2등급)

[테아닌] 스트레스로 인한 긴장완화에 도움을 줄 수 있음

[판토텐산] 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

[비타민B2] 체내 에너지 생성에 필요

[비타민B1] 탄수화물과 에너지 대사에 필요

[비오틴] 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요",콜 레우스 포스 콜리 물 호 체지방 감소 줄 수 생리 활 테아닌 스트레스 긴장 완화 줄 수 판토텐산 지방 단백질 에너지 생 비타민 에너지 생 비타민 에너지 비오틴 지방 단백질 에너지 생
데일리컷 다이어트,"①배변활동 원활에 도움을 줄 수 있음

①항산화·체지방 감소·혈중 콜레스테롤 개선에 도움을 줄 수 있음

①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③유해산소로부터 세포를 보호하는데 필요

①정상적인 면역기능에 필요②정상적인 세포분열에 필요

①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

①유해산소로부터 세포를 보호하는데 필요",배변 줄 수 항산화 체지방 감소 콜레스테롤 줄 수 철 산소 면역 지방 단백질 에너지 생 산소
