제품명,기능성,processed_text
더나은 식물성 알티지 오메가3,"[비타민 D] 칼슘과 인이 흡수되고 이용되는데 필요, 뼈의 형성과 유지에 필요, 골다공증발생 위험 감소에 도움을 줌 
[EPA 및 DHA 함유유지]  혈중 중성지질 개선･혈행 개선･기억력 개선에 도움을 줄 수 있음
[비타민 E] 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요",비타민 칼슘 인 뼈 골다공증 감소 중성 지질 혈행 기억 줄 수 비타민 항산화 산소
더나은 알티지오메가3,"[EPA 및 DHA 함유 유지] ①혈중 중성지질 개선·혈행 개선·기억력 개선에 도움을 줄 수 있음

[비타민E] ①유해산소로부터 세포를 보호하는데 필요

[비타민D] ①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌",중성 지질 혈행 기억 줄 수 비타민 산소 비타민 칼슘 인 뼈 골다공증 감소
더나은알티지오메가3(더나은rTG오메가3),"EPA및DHA함유유지: 혈중 중성지질 개선·혈행 개선·기억력 개선·건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음

비타민E: 유해산소로부터 세포를 보호하는데 필요",중성 지질 혈행 기억 눈 눈 줄 수 비타민 산소
더나토써큘7,"[비타민 E]
항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
[은행잎 추출물]
기억력 개선･혈행 개선에 도움을 줄 수 있음
[나토균배양분말(개별인정형 제2013-6호)]
혈행 개선에 도움을 줄 수 있음(생리활성기능 2등급)",비타민 항산화 산소 은행 잎 물 기억 혈행 줄 수 나토 균배 분말 개별 인정 호 혈행 줄 수 생리 활
더나토써큘7,"[은행잎추출물] 기억력 개선･혈행 개선에 도움을 줄 수 있음
[나토균배양분말(제2013-6호)]혈행개선에 도움을 줄 수 있음
[비타민E] 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요",은행 잎 물 기억 혈행 줄 수 나토 균배 분말 호 혈행 줄 수 비타민 항산화 산소
더뉴트라 알티지,"[EPA 및 DHA 함유유지]①혈중 중성지질 개선·혈행 개선·기억력 개선·건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음. 
[비타민E]①유해산소로부터 세포를 보호하는데 필요",중성 지질 혈행 기억 눈 눈 줄 수 비타민 산소
더뉴트라 알티지오메가,[EPA 및 DHA 함유유지]①혈중 중성지질 개선·혈행 개선·기억력 개선·건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음. ,중성 지질 혈행 기억 눈 눈 줄 수
더다른 감마리놀렌산,"- 감마리놀렌산 : 혈중 콜레스테롤 개선･혈행개선･월경전 변화에 의한 불편한 상태 개선･면역과민반응에 의한 피부상태 개선에 도움을 줄 수 있음
- 비타민 D : 칼슘과 인이 흡수되고 이용되는데 필요, 뼈의 형성과 유지에 필요, 골다공증발생 위험 감소에 도움을 줌
- 비타민 E : 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요",감마 리놀렌산 콜레스테롤 혈행 경전 변화 상태 면역 과민반응 피부 상태 줄 수 비타민 칼슘 인 뼈 골다공증 감소 비타민 항산화 산소
더다른 식물성 알티지 오메가3,"[EPA와 DHA 함유 유지] ①혈중 중성지질 개선·혈행 개선·건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음
[비타민E] ①항산화작용을 하여 유해산소로부터 세포를 보호하는데 필요",중성 지질 혈행 눈 눈 줄 수 비타민 항산화작용 산소
더다른 식물성 알티지 오메가3 플러스,"[EPA및DHA함유유지]
혈중 중성지질 개선·혈행 개선·기억력 개선·건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음

[비타민E]
항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요",중성 지질 혈행 기억 눈 눈 줄 수 비타민 항산화 산소
더다른 알티지 오메가3,"[EPA 및 DHA 함유 유지] 혈중 중성지질 개선·혈행 개선··건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음

[비타민A] ①어두운 곳에서 시각 적응을 위해 필요②피부와 점막을 형성하고 기능을 유지하는데 필요③상피세포의 성장과 발달에 필요

[비타민D] ①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌

[비타민E] ①유해산소로부터 세포를 보호하는데 필요",중성 지질 혈행 눈 눈 줄 수 비타민 곳 피부 점막 상피세포 비타민 칼슘 인 뼈 골다공증 감소 비타민 산소
더다른 초임계 알티지 오메가3,"EPA 및 DHA 함유 유지 : (1) 혈중 중성지질 개선·혈행 개선에 도움을 줄 수 있음 (2) 기억력 개선에 도움을 줄 수 있음 (3) 건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음
비타민E : (1) 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
비타민D : (1) 칼슘과 인이 흡수되고 이용되는데 필요 (2) 뼈의 형성과 유지에 필요 (3) 골다공증발생 위험 감소에 도움을 줌",중성 지질 혈행 줄 수 기억 줄 수 눈 눈 줄 수 비타민 항산화 산소 비타민 칼슘 인 뼈 골다공증 감소
더레이 초임계 알티지 오메가3,"[EPA 및 DHA 함유 유지] ①혈중 중성지질 개선·혈행 개선에 도움을 줄 수 있음 ②기억력 개선에 도움을 줄 수 있음 ③건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음
[비타민D] ①칼슘과 인이 흡수되고 이용되는데 필요 ②뼈의 형성과 유지에 필요 ③골다공증발생 위험 감소에 도움을 줌",중성 지질 혈행 줄 수 기억 줄 수 눈 눈 줄 수 비타민 칼슘 인 뼈 골다공증 감소
더루테인 알티지 오메가3,"(국문) 노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈건강에 도움을 줄 수 있음 
(영문) May help the eye health by maintaining the density of macular pigments which can be decreased by aging
(가) 혈중 중성지질 개선·혈행 개선에 도움을 줄 수 있음
(나) 건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음
①정상적인 면역기능에 필요②정상적인 세포분열에 필요
①유해산소로부터 세포를 보호하는데 필요
①항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
①어두운 곳에서 시각 적응을 위해 필요②피부와 점막을 형성하고 기능을 유지하는데 필요③상피세포의 성장과 발달에 필요
①뼈 형성에 필요②에너지 이용에 필요③유해산소로부터 세포를 보호하는데 필요",노화 감소 수 황반 색소 밀도 눈 줄 수 중성 지질 혈행 줄 수 눈 눈 줄 수 면역 산소 항산화 산소 곳 피부 점막 상피세포 뼈 에너지 산소
더브레인골드,"[은행잎추출물] 기억력 개선·혈행 개선에 도움을 줄 수 있음

[포스파티딜세린] 노화로 인해 저하된 인지력 개선·자외선에 의한 피부 손상으로부터 피부 건강 유지·피부보습에 도움을 줄 수 있음

[비타민E] 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요",은행 잎 물 기억 혈행 줄 수 포스 파티 딜 세린 노화 저하 인지력 자외선 피부 손상 피부 피부 보습 줄 수 비타민 항산화 산소
더블 눈케어,"(EPA 및 DHA 함유 유지) 혈중 중성지질 개선·혈행 개선·건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음
(마리골드꽃추출물) 노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줄 수 있음
(비타민 A) ①어두운 곳에서 시각 적응을 위해 필요②피부와 점막을 형성하고 기능을 유지하는데 필요③상피세포의 성장과 발달에 필요
(차즈기추출물) (국문)  눈의 피로도 개선에 도움을 줄 수 있음, (영문) May help to improve eye fatigue",중성 지질 혈행 눈 눈 줄 수 마리 골드 꽃 물 노화 감소 수 황반 색소 밀도 눈 줄 수 비타민 곳 피부 점막 상피세포 차즈기 물 눈 피로 줄 수
더블 혈행케어 ,"①면역력 증진·피로개선·혈소판 응집억제를 통한 혈액흐름·기억력 개선·항산화에 도움을 줄 수 있음

혈중 중성지질 개선·혈행 개선·건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음",면역 피로 혈액 기억 항산화 줄 수 중성 지질 혈행 눈 눈 줄 수
더블메가 식물성 알티지 오메가3,"1) EPA 및 DHA 함유 유지 : 혈중 중성지질 개선 · 혈행 개선 · 기억력 개선 · 건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음.
2) 비타민E : 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요.",중성 지질 혈행 기억 눈 눈 줄 수 비타민 항산화 산소
더블엔 초임계 식물성 rTG 오메가3,"[EPA 및 DHA 함유 유지]혈중 중성지질 개선·혈행 개선·기억력 개선·건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음

[비타민E]항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요",중성 지질 혈행 기억 눈 눈 줄 수 비타민 항산화 산소
더블유케어 데일리 멀티팩,"[EPA 및 DHA 함유 유지]
- 혈중 중성지질 개선･혈행 개선･건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음

[프로바이오틱스] 
- 유산균 증식 및 유해균 억제･배변활동 원활･장 건강에 도움을 줄 수 있음

[셀레늄]
- 유해산소로부터 세포를 보호하는데 필요

[비타민B6]
- 단백질 및 아미노산 이용에 필요
- 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[비타민C]
- 결합조직 형성과 기능유지에 필요
- 철의 흡수에 필요
- 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요

[비타민D]
- 칼슘과 인이 흡수되고 이용되는데 필요
- 뼈의 형성과 유지에 필요
- 골다공증발생 위험 감소에 도움을 줌

[아연]
- 정상적인 면역기능에 필요
- 정상적인 세포분열에 필요

[구리]
- 철의 운반과 이용에 필요
- 유해산소로부터 세포를 보호하는데 필요

[크롬]
- 체내 탄수화물, 지방, 단백질 대사에 관여

[망간]
- 뼈 형성에 필요
- 에너지 이용에 필요
- 유해산소로부터 세포를 보호하는데 필요

[비타민 B2]
- 체내 에너지 생성에 필요

[비타민 B12]
- 정상적인 엽산 대사에 필요

[비타민 B1]
- 탄수화물과 에너지 대사에 필요",중성 지질 혈행 눈 눈 줄 수 프로바이오틱스 유산균 균 배변 장 줄 수 셀레늄 산소 비타민 단백질 아미노산 혈액 시스테인 비타민 철 항산화 산소 비타민 칼슘 인 뼈 골다공증 감소 아연 면역 구리 철 운반 산소 크롬 지방 단백질 관여 망간 뼈 에너지 산소 비타민 에너지 생 비타민 엽산 비타민 에너지
더블임팩 엑티포닌 다이어트,"[돌외잎주정추출분말(제2013-8호)] 체지방 감소에 도움을 줄 수 있음
[은행잎 추출물] 기억력 개선·혈행 개선에 도움을 줄 수 있음",돌외잎 주정 분말 호 체지방 감소 줄 수 은행 잎 물 기억 혈행 줄 수
더블초임계rTG오메가루테인,"[EPA 및 DHA 함유 유지]
①혈중 중성지질 개선 · 혈행 개선에 도움을 줄 수 있음
②건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음
[마리골드꽃추출물]
①노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줄 수 있음
[비타민A]
①어두운 곳에서 시각 적응을 위해 필요
②피부와 점막을 형성하고 기능을 유지하는데 필요
③상피세포의 성장과 발달에 필요
[비타민D]
①칼슘과 인이 흡수되고 이용되는데 필요
②뼈의 형성과 유지에 필요
③골다공증발생 위험 감소에 도움을 줌
[비타민E]
①항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
[셀렌]
①유해산소로부터 세포를 보호하는데 필요",중성 지질 혈행 줄 수 눈 눈 줄 수 마리 골드 꽃 물 노화 감소 수 황반 색소 밀도 눈 줄 수 비타민 곳 피부 점막 상피세포 비타민 칼슘 인 뼈 골다공증 감소 비타민 항산화 산소 셀렌 산소
더블케어 루테인 오메가3,"혈중 중성지질 개선·혈행 개선에 도움을 줄 수 있음, 건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음
노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줄 수 있음
①항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
①어두운 곳에서 시각 적응을 위해 필요②피부와 점막을 형성하고 기능을 유지하는데 필요③상피세포의 성장과 발달에 필요
①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
①탄수화물과 에너지 대사에 필요
①체내 에너지 생성에 필요",중성 지질 혈행 줄 수 눈 눈 줄 수 노화 감소 수 황반 색소 밀도 눈 줄 수 항산화 산소 지방 단백질 에너지 생 곳 피부 점막 상피세포 단백질 아미노산 혈액 시스테인 에너지 에너지 생
더블케어 루테인메가3,"혈중 중성지질 개선·혈행 개선에 도움을 줄 수 있음

노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줄 수 있음

①항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요

①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌",중성 지질 혈행 줄 수 노화 감소 수 황반 색소 밀도 눈 줄 수 항산화 산소 칼슘 인 뼈 골다공증 감소
더블케어 알티지 오메가3,혈중 중성지질 개선·혈행 개선·건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음,중성 지질 혈행 눈 눈 줄 수
더비랩 기억력,"[홍삼]①면역력 증진·피로개선·혈소판 응집억제를 통한 혈액흐름·기억력 개선·항산화에 도움을 줄 수 있음

[EPA 및 DHA 함유 유지]①혈중 중성지질 개선·혈행 개선·기억력 개선·건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음

[옥타코사놀 함유 유지]①지구력 증진에 도움을 줄 수 있음",홍삼 면역 피로 혈액 기억 항산화 줄 수 중성 지질 혈행 기억 눈 눈 줄 수 옥 타코 놀 지구력 줄 수
더비랩 기억력,"[홍삼]①면역력 증진･피로개선에 도움을 줄 수 있음②혈소판 응집억제를 통한 혈액흐름･기억력 개선･항산화에 도움을 줄 수 있음
[은행잎 추출물]①기억력 개선･혈행 개선에 도움을 줄 수 있음
[비타민C]①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
[비타민B1]①탄수화물과 에너지 대사에 필요
[나이아신]①체내 에너지 생성에 필요
[비타민B6]①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비타민B12]①정상적인 엽산 대사에 필요
[비타민E]①항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
[아연]①정상적인 면역기능에 필요②정상적인 세포분열에 필요
[망간]①뼈 형성에 필요②에너지 이용에 필요②유해산소로부터 세포를 보호하는데 필요
[셀레늄]①유해산소로부터 세포를 보호하는데 필요
[구리]①철의 운반과 이용에 필요②유해산소로부터 세포를 보호하는데 필요",홍삼 면역 피로 줄 수 혈액 기억 항산화 줄 수 은행 잎 물 기억 혈행 줄 수 비타민 철 항산화 산소 비타민 에너지 나이아신 에너지 생 비타민 단백질 아미노산 혈액 시스테인 비타민 엽산 비타민 항산화 산소 아연 면역 망간 뼈 에너지 산소 셀레늄 산소 구리 철 운반 산소
더알티지오메가3,"혈중 중성지질 개선·혈행 개선·기억력 개선·건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음
①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌",중성 지질 혈행 기억 눈 눈 줄 수 칼슘 인 뼈 골다공증 감소
더오메가3(The Omega3),혈중 중성지질 개선· 혈행 개선에 도움을 줄 수 있음,중성 지질 혈행 줄 수
더이앤알티지오메가루테인아스타잔틴,"혈중 중성지질 개선·혈행 개선·건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음

노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줄 수 있음

①눈의 피로도 개선에 도움을 줄 수 있음",중성 지질 혈행 눈 눈 줄 수 노화 감소 수 황반 색소 밀도 눈 줄 수 눈 피로 줄 수
더작 식물성알티지오메가3프리미엄,"(가) 혈중 중성지질 개선·혈행 개선에 도움을 줄 수 있음
(나) 기억력 개선에 도움을 줄 수 있음
(다) 건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음
항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
(가) 어두운 곳에서 시각 적응을 위해 필요
(나) 피부와 점막을 형성하고 기능을 유지하는데 필요
(다) 상피세포의 성장과 발달에 필요",중성 지질 혈행 줄 수 기억 줄 수 눈 눈 줄 수 항산화 산소 곳 피부 점막 상피세포
더좋은 오메가-3 알티지 초임계 ,"[EPA 및 DHA 함유 유지]
①혈중 중성지질 개선 · 혈행 개선에 도움을 줄 수 있음
②건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음
③기억력 개선에 도움을 줄 수 있음
[비타민D]
①칼슘과 인이 흡수되고 이용되는데 필요
②뼈의 형성과 유지에 필요
③골다공증발생 위험 감소에 도움을 줌
[비타민E]
①항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요",중성 지질 혈행 줄 수 눈 눈 줄 수 기억 줄 수 비타민 칼슘 인 뼈 골다공증 감소 비타민 항산화 산소
더좋은 오메가3&오메가7,"[EPA 및 DHA 함유 유지]
①혈중 중성지질 개선에 도움을 줄 수 있음 ②혈행개선에 도움을 줄 수 있음 ③건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음

[팔밋올레산 함유 명태(알래스카폴락)유래 정제어유(제2024-18호)]
(국문) ① 피부 보습에 도움을 줄 수 있음, ② 자외선에 의한 피부 손상으로부터 피부 건강을 유지하는데 도움을 줄 수 있음
(영문) ① May help to moisturize (dry) skin, ② May help to maintain good skin health by protecting against damage from UV exposure

[비타민E]
항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요",중성 지질 줄 수 혈행 줄 수 눈 눈 줄 수 밋 올레산 명태 알래스카 폴락 유래 정제 어유 호 피부 보습 줄 수 자외선 피부 손상 피부 줄 수 비타민 항산화 산소
더파르마 식물성오메가3,"[비타민 E]
항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요

[EPA 및 DHA 함유 유지]
혈중 중성지질 개선･혈행 개선･건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음",비타민 항산화 산소 중성 지질 혈행 눈 눈 줄 수
더파르마 오메가3,"[EPA 및 DHA 함유유지]
①혈중 중성지질 개선·혈행 개선·건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음
[비타민 E] 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요",중성 지질 혈행 눈 눈 줄 수 비타민 항산화 산소
더팜 레드 오메가3,"[EPA및DHA함유유지] 혈중 중성지질 개선·혈행 개선·기억력 개선·건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음

[비타민D] ①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌",중성 지질 혈행 기억 눈 눈 줄 수 비타민 칼슘 인 뼈 골다공증 감소
더팜 마미웰 오메가3,①혈중 중성지질 개선․혈행 개선에 도움을 줄 수 있음,중성 지질 혈행 줄 수
더팜 식물성 오메가3 츄어블,"[EPA및DHA함유유지]혈중 중성지질 개선·혈행 개선에 도움을 줄 수 있음
[베타카로틴]①어두운 곳에서 시각 적응을 위해 필요②피부와 점막을 형성하고 기능을 유지하는데 필요③상피세포의 성장과 발달에 필요",중성 지질 혈행 줄 수 베타카로틴 곳 피부 점막 상피세포
더팜 키즈 식물성 알티지 오메가3,"[비타민E]
항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요

[베타카로틴]
(1) 어두운 곳에서 시각 적응을 위해 필요
(2) 피부와 점막을 형성하고 기능을 유지하는데 필요
(3) 상피세포의 성장과 발달에 필요

[EPA 및 DHA 함유 유지]
혈중 중성지질 개선·혈행 개선에 도움을 줄 수 있음",비타민 항산화 산소 베타카로틴 곳 피부 점막 상피세포 중성 지질 혈행 줄 수
더팜 혈당 건강,"[바나바잎 추출물] 식후 혈당상승 억제에 도움을 줄 수 있음
[은행잎 추출물] 기억력 개선·혈행 개선에 도움을 줄 수 있음
[비타민B6] ①단백질 및 아미노산 이용에 필요 ②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[셀렌] 유해산소로부터 세포를 보호하는데 필요
[아연] ①정상적인 면역기능에 필요 ②정상적인 세포분열에 필요
[엽산] ①세포와 혈액생성에 필요 ②태아 신경관의 정상 발달에 필요 ③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요",바나바 잎 물 식후 혈당 상승 줄 수 은행 잎 물 기억 혈행 줄 수 비타민 단백질 아미노산 혈액 시스테인 셀렌 산소 아연 면역 엽산 혈액 생 태아 경관 혈액 시스테인
데이랩 알티지오메가3,혈중 중성지질 개선·혈행 개선·기억력 개선·건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음,중성 지질 혈행 기억 눈 눈 줄 수
