제품명,기능성,processed_text
더마그,"[마그네슘]
①에너지 이용에 필요
②신경과 근육 기능 유지에 필요
[요오드]
①갑상선 호르몬의 합성에 필요
②에너지 생성에 필요
③신경발달에 필요
[비타민E]
항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요",마그네슘 에너지 신경 근육 요오드 갑상선 호르몬 에너지 생 비타민 항산화 산소
더맘 칼슘,"[칼슘]①뼈와 치아 형성에 필요②신경과 근육 기능 유지에 필요③정상적인 혈액응고에 필요④골다공증발생 위험 감소에 도움을 줌

[마그네슘]①에너지 이용에 필요②신경과 근육 기능 유지에 필요

[비타민D]①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌",칼슘 뼈 치아 신경 근육 혈액 골다공증 감소 마그네슘 에너지 신경 근육 비타민 칼슘 인 뼈 골다공증 감소
더본 칼슘,"[칼슘]
①뼈와 치아 형성에 필요
②신경과 근육 기능 유지에 필요
③정상적인 혈액응고에 필요
④골다공증발생 위험 감소에 도움을 줌",칼슘 뼈 치아 신경 근육 혈액 골다공증 감소
더블 본 파워(Double Bone Power),"[칼슘]
①뼈와 치아 형성에 필요②신경과 근육 기능 유지에 필요③정상적인 혈액응고에 필요④골다공증발생 위험 감소에 도움을 줌
[마그네슘]
①에너지 이용에 필요②신경과 근육 기능 유지에 필요
[비타민D]
①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌",칼슘 뼈 치아 신경 근육 혈액 골다공증 감소 마그네슘 에너지 신경 근육 비타민 칼슘 인 뼈 골다공증 감소
더블 스텝 플러스,①뼈와 치아 형성에 필요②신경과 근육 기능 유지에 필요③정상적인 혈액응고에 필요④골다공증발생 위험 감소에 도움을 줌,뼈 치아 신경 근육 혈액 골다공증 감소
더블본 파워,"[칼슘]  ①뼈와 치아 형성에 필요 ②신경과 근육 기능 유지에 필요 ③정상적인 혈액응고에 필요 ④골다공증발생 위험 감소에 도움을 줌
[마그네슘] ①에너지 이용에 필요 ②신경과 근육 기능 유지에 필요
[비타민D] ①칼슘과 인이 흡수되고 이용되는데 필요 ②뼈의 형성과 유지에 필요 ③골다공증발생 위험 감소에 도움을 줌",칼슘 뼈 치아 신경 근육 혈액 골다공증 감소 마그네슘 에너지 신경 근육 비타민 칼슘 인 뼈 골다공증 감소
더블아웃,"* 마그네슘
① 에너지 이용에 필요
② 신경과 근육 기능 유지에 필요

* 비오틴
① 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요

* 비타민B1
① 탄수화물과 에너지 대사에 필요

* 비타민B2
① 체내 에너지 생성에 필요

* 비타민B6
① 단백질 및 아미노산 이용에 필요
② 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

* 비타민C
① 결합조직 형성과 기능유지에 필요
② 철의 흡수에 필요
③ 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요

* 비타민D
① 칼슘과 인이 흡수되고 이용되는데 필요
② 뼈의 형성과 유지에 필요
③ 골다공증발생 위험 감소에 도움을 줌

* 아연
① 정상적인 면역기능에 필요
② 정상적인 세포분열에 필요

* 키토산 / 키토올리고당
① 혈중 콜레스테롤 개선·체지방 감소에 도움을 줄 수 있음
	1) 혈중 콜레스테롤 개선에 도움을 줄 수 있음 ( : 키토산 또는 키토올리고당으로서 1.2~4.5 g)
	2) 체지방 감소에 도움을 줄 수 있음 ( : 키토산으로서 3.0~4.5 g, 키토올리고당으로서 3 g)

* 판토텐산 ① 지방, 탄수화물, 단백질 대사와 에너지 생성에 필요",마그네슘 에너지 신경 근육 비오틴 지방 단백질 에너지 생 비타민 에너지 비타민 에너지 생 비타민 단백질 아미노산 혈액 시스테인 비타민 철 항산화 산소 비타민 칼슘 인 뼈 골다공증 감소 아연 면역 키토산 키토 올리고당 콜레스테롤 체지방 감소 줄 수 콜레스테롤 줄 수 키토산 키토 올리고당 체지방 감소 줄 수 키토산 키토 올리고당 판토텐산 지방 단백질 에너지 생
더블엑스 더블유피아이,"① 근육, 결합조직 등 신체조직의 구성성분 ② 효소, 호르몬, 항체의 구성에 필요 ③ 체내 필수 영양성분이나 활성물질의 운반과 저장에 필요 ④ 체액, 산-염기의 균형 유지에 필요 ⑤ 에너지, 포도당, 지질의 합성에 필요",근육 신체 조직 구성 성분 효소 호르몬 항체 구성 필수 영양성분 활 물질 운반 저장 체액 산 염기 균형 에너지 포도당 지질
더블엑스 더블유피아이에이치,"①근육, 결합조직 등 신체조직의 구성성분②효소, 호르몬, 항체의 구성에 필요③체내 필수 영양성분이나 활성물질의 운반과 저장에 필요④체액, 산-염기의 균형 유지에 필요⑤에너지, 포도당, 지질의 합성에 필요",근육 신체 조직 구성 성분 효소 호르몬 항체 구성 필수 영양성분 활 물질 운반 저장 체액 산 염기 균형 에너지 포도당 지질
더블엑스 웨이프로틴,"① 근육, 결합조직 등 신체조직의 구성성분 ② 효소, 호르몬, 항체의 구성에 필요 ③ 체내 필수 영양성분이나 활성물질의 운반과 저장에 필요 ④ 체액, 산-염기의 균형 유지에 필요 ⑤ 에너지, 포도당, 지질의 합성에 필요",근육 신체 조직 구성 성분 효소 호르몬 항체 구성 필수 영양성분 활 물질 운반 저장 체액 산 염기 균형 에너지 포도당 지질
더블엑스게이너,"①근육, 결합조직 등 신체조직의 구성성분②효소, 호르몬, 항체의 구성에 필요③체내 필수 영양성분이나 활성물질의 운반과 저장에 필요④체액, 산-염기의 균형 유지에 필요⑤에너지, 포도당, 지질의 합성에 필요",근육 신체 조직 구성 성분 효소 호르몬 항체 구성 필수 영양성분 활 물질 운반 저장 체액 산 염기 균형 에너지 포도당 지질
더블엔 미네랄멀티비타민,"[비타민C]①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필
요
[비타민B1]①탄수화물과 에너지 대사에 필요
[비타민B6]①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비타민B2]①체내 에너지 생성에 필요
[판토텐산]①지방, 탄수화물, 단백질 대사와 에너지 생성에 필요
[엽산]①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비타민B12]①정상적인 엽산 대사에 필요
[비타민D]①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험감소에 도움을 줌
[아연]①정상적인 면역기능에 필요②정상적인 세포분열에 필요
[마그네슘]①에너지 이용에 필요②신경과 근육 기능 유지에 필요",비타민 철 항산화 산소 필 요 비타민 에너지 비타민 단백질 아미노산 혈액 시스테인 비타민 에너지 생 판토텐산 지방 단백질 에너지 생 엽산 혈액 생 태아 경관 혈액 시스테인 비타민 엽산 비타민 칼슘 인 뼈 골다공증 감소 아연 면역 마그네슘 에너지 신경 근육
더블유피에이취(WPH),"[단백질]①근육, 결합조직 등 신체조직의 구성성분②효소, 호르몬, 항체의 구성에 필요③체내 필수 영양성분이나 활성물질의 운반과 저장에 필요④체액, 산-염기의 균형 유지에 필요⑤에너지, 포도당, 지질의 합성에 필요",단백질 근육 신체 조직 구성 성분 효소 호르몬 항체 구성 필수 영양성분 활 물질 운반 저장 체액 산 염기 균형 에너지 포도당 지질
더블유피에이취(WPH)플러스(PLUS) 웨이트(WEIGHT),"[단백질]①근육, 결합조직 등 신체조직의 구성성분②효소, 호르몬, 항체의 구성에 필요③체내 필수 영양성분이나 활성물질의 운반과 저장에 필요④체액, 산-염기의 균형 유지에 필요⑤에너지, 포도당, 지질의 합성에 필요",단백질 근육 신체 조직 구성 성분 효소 호르몬 항체 구성 필수 영양성분 활 물질 운반 저장 체액 산 염기 균형 에너지 포도당 지질
더비지알덴타7,"[비타민 E]
항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요

[비타민 C]
결합조직 형성과 기능유지에 필요
철의 흡수에 필요
항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요

[칼슘]
뼈와 치아 형성에 필요
신경과 근육 기능 유지에 필요
정상적인 혈액응고에 필요
골다공증발생 위험 감소에 도움을 줌

[프로폴리스추출물]
항산화에 도움을 줄 수 있음",비타민 항산화 산소 비타민 철 항산화 산소 칼슘 뼈 치아 신경 근육 혈액 골다공증 감소 프로폴리스 물 항산화 줄 수
더스트롱 마그네슘,"[마그네슘] 에너지 이용에 필요 / 신경과 근육 기능 유지에 필요
[비타민B1] 탄수화물과 에너지 대사에 필요
[비타민B6] 단백질 및 아미노산 이용에 필요 / 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[나이아신] 체내 에너지 생성에 필요
[비타민E] 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요",마그네슘 에너지 신경 근육 비타민 에너지 비타민 단백질 아미노산 혈액 시스테인 나이아신 에너지 생 비타민 항산화 산소
더스트롱 포 맨,"[비타민B1]①탄수화물과 에너지 대사에 필요
[비타민B2]①체내 에너지 생성에 필요
[비타민B6]①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비타민C]①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③유해산소로부터 세포를 보호하는데 필요
[비타민D]①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌
[비타민E]①유해산소로부터 세포를 보호하는데 필요
[엽산]①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[아연]①정상적인 면역기능에 필요②정상적인 세포분열에 필요
[셀레늄(또는 셀렌)]①유해산소로부터 세포를 보호하는데 필요
[마그네슘]①에너지 이용에 필요②신경과 근육 기능 유지에 필요
",비타민 에너지 비타민 에너지 생 비타민 단백질 아미노산 혈액 시스테인 비타민 철 산소 비타민 칼슘 인 뼈 골다공증 감소 비타민 산소 엽산 혈액 생 태아 경관 혈액 시스테인 아연 면역 셀레늄 셀렌 산소 마그네슘 에너지 신경 근육
더스트롱포맨 옥타,"[옥타코사놀 함유 유지] ①지구력 증진에 도움을 줄 수 있음

[비타민B1] ①탄수화물과 에너지 대사에 필요

[비타민B2] ①체내 에너지 생성에 필요

[비타민B6] ①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[비타민C] ①결합조직 형성과 기능유지에 필요②철의 흡수에 필요③항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요

[비타민D] ①칼슘과 인이 흡수되고 이용되는데 필요②뼈의 형성과 유지에 필요③골다공증발생 위험 감소에 도움을 줌

[비타민E] ①항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요

[아연] ①정상적인 면역기능에 필요②정상적인 세포분열에 필요

[엽산]①세포와 혈액생성에 필요②태아 신경관의 정상 발달에 필요③혈액의 호모시스테인 수준을 정상으로 유지하는데 필요

[마그네슘] ①에너지 이용에 필요②신경과 근육 기능 유지에 필요

[셀렌] ①유해산소로부터 세포를 보호하는데 필요",옥 타코 놀 지구력 줄 수 비타민 에너지 비타민 에너지 생 비타민 단백질 아미노산 혈액 시스테인 비타민 철 항산화 산소 비타민 칼슘 인 뼈 골다공증 감소 비타민 항산화 산소 아연 면역 엽산 혈액 생 태아 경관 혈액 시스테인 마그네슘 에너지 신경 근육 셀렌 산소
더스트롱포맨 올인원,"[옥타코사놀 함유 유지] 지구력 증진에 도움을 줄 수 있음
[홍경천 추출물] 스트레스로 인한 피로 개선에 도움을 줄 수 있음
[비타민 B1] 탄수화물과 에너지 대사에 필요
[비타민 B2] 체내 에너지 생성에 필요
[비타민 B6] 단백질 및 아미노산 이용에 필요/혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비타민 C] 결합조직 형성과 기능유지에 필요/철의 흡수에 필요/항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
[비타민 D] 칼슘과 인이 흡수되고 이용되는데 필요/뼈의 형성과 유지에 필요/골다공증발생 위험 감소에 도움을 줌
[비타민 E] 항산화 작용을 하여 유해산소로부터 세포를 보호하는데 필요
[아연] 정상적인 면역기능에 필요/정상적인 세포분열에 필요
[마그네슘] 에너지 이용에 필요/신경과 근육 기능 유지에 필요
[셀렌] 유해산소로부터 세포를 보호하는데 필요
[엽산] 세포와 혈액생성에 필요/태아 신경관의 정상 발달에 필요/혈액의 호모시스테인 수준을 정상으로 유지하는데 필요",옥 타코 놀 지구력 줄 수 홍 경천 물 스트레스 피로 줄 수 비타민 에너지 비타민 에너지 생 비타민 단백질 아미노산 혈액 시스테인 비타민 철 항산화 산소 비타민 칼슘 인 뼈 골다공증 감소 비타민 항산화 산소 아연 면역 마그네슘 에너지 신경 근육 셀렌 산소 엽산 혈액 생 태아 경관 혈액 시스테인
더신나게_다시관절,"[엠에스엠(MSM, 디메틸설폰) ① 관절 및 연골건강에 도움을 줄 수 있음
[NAG(엔에이지, N-Acetylglucosamine) ①관절 및 연골 건강에 도움을 줄 수 있음
[칼슘] ①뼈와 치아 형성에 필요②신경과 근육 기능 유지에 필요③정상적인 혈액응고에 필요④골다공증발생 위험 감소에 도움을 줌",엠에스 엠 디메틸 설폰 관절 연골 줄 수 에이지 관절 연골 줄 수 칼슘 뼈 치아 신경 근육 혈액 골다공증 감소
더쎈 마그네슘 440,"[마그네슘] ①에너지 이용에 필요②신경과 근육 기능 유지에 필요
[비타민B12] 정상적인 엽산 대사에 필요
[비타민B6] ①단백질 및 아미노산 이용에 필요②혈액의 호모시스테인 수준을 정상으로 유지하는데 필요
[비타민B1] 탄수화물과 에너지 대사에 필요
",마그네슘 에너지 신경 근육 비타민 엽산 비타민 단백질 아미노산 혈액 시스테인 비타민 에너지
더쎈 마그네슘 440,"마그네슘 ① 에너지 이용에 필요 ② 신경과 근육 기능 유지에 필요
비타민 B12 ① 정상적인 엽산 대사에 필요.
비타민 B6 ① 단백질 및 아미노산 이용에 필요. ② 혈액의 호모시스테인 수준을 정상으로 유지하는데 필요.
비타민 B1 ① 탄수화물과 에너지 대사에 필요.",마그네슘 에너지 신경 근육 비타민 엽산 비타민 단백질 아미노산 혈액 시스테인 비타민 에너지
